Date,Close,Dividend,Cls_Div
2000-12-05,11.75,0.0,11.75
2001-01-31,11.0,300.0,311.0
2001-04-12,11.2,0.0,311.2
2001-06-06,11.5,0.0,311.5
2001-06-12,11.51,0.0,311.51
2001-06-26,11.55,0.0,311.55
2001-07-11,12.0,0.0,312.0
2001-08-05,12.6,0.0,312.6
2001-10-22,12.51,0.0,312.51
2001-12-05,21.9,0.0,321.9
2001-12-20,14.0,0.0,314.0
2002-01-17,20.0,0.0,320.0
2002-07-08,3393.5,300.0,3993.5
2002-10-09,2702.17,0.0,3302.17
2003-02-12,2461.6,0.0,3061.6
2003-06-10,1790.52,0.0,2390.52
2003-06-19,2675.16,0.0,3275.16
2003-07-31,1760.52,0.0,2360.52
2003-08-12,1756.68,0.0,2356.6800000000003
2003-08-13,1754.4,0.0,2354.4
2003-09-03,1482.0,0.0,2082.0
2003-10-02,1486.0,0.0,2086.0
2003-10-13,1472.11,0.0,2072.1099999999997
2004-03-16,2789.4,314.8,3704.2
2004-03-31,2900.0,0.0,3814.8
2004-04-01,2800.0,0.0,3714.8
2004-04-08,2700.0,0.0,3614.8
2004-05-11,2057.7,0.0,2972.5
2004-05-20,1909.74,0.0,2824.54
2004-09-01,2849.49,0.0,3764.29
2005-04-28,3751.2,104.02,4770.0199999999995
2005-06-23,3460.0,0.0,4478.82
2005-07-17,4500.0,0.0,5518.82
2005-08-04,6000.0,0.0,7018.82
2005-08-08,6300.0,0.0,7318.82
2005-08-09,5000.0,0.0,6018.82
2005-09-12,7000.0,0.0,8018.82
2005-12-06,7500.0,0.0,8518.82
2005-12-20,9000.0,0.0,10018.82
2005-12-22,7000.0,0.0,8018.82
2006-01-22,9750.0,0.0,10768.82
2006-01-25,10575.0,0.0,11593.82
2006-01-29,15000.0,0.0,16018.82
2006-02-02,18000.0,0.0,19018.82
2006-02-06,21000.0,0.0,22018.82
2006-02-08,20000.0,0.0,21018.82
2006-02-09,18500.0,0.0,19518.82
2006-02-28,17000.0,300.0,18318.82
2006-03-16,18900.0,0.0,20218.82
2006-03-27,19200.0,0.0,20518.82
2006-03-29,19000.0,0.0,20318.82
2006-04-03,18000.0,0.0,19318.82
2006-04-04,17000.0,0.0,18318.82
2006-04-06,19000.0,0.0,20318.82
2006-04-09,19000.0,0.0,20318.82
2006-04-13,19000.0,0.0,20318.82
2006-04-16,19000.01,0.0,20318.829999999998
2006-04-17,19000.0,0.0,20318.82
2006-04-19,21000.0,0.0,22318.82
2006-04-26,21000.0,0.0,22318.82
2006-05-10,20250.0,0.0,21568.82
2006-05-28,16500.0,0.0,17818.82
2006-05-31,13000.0,0.0,14318.82
2006-06-04,11500.0,0.0,12818.82
2006-06-05,11500.0,0.0,12818.82
2006-06-20,12000.0,0.0,13318.82
2006-06-21,11800.0,0.0,13118.82
2006-07-25,11000.01,0.0,12318.83
2006-07-26,11000.01,0.0,12318.83
2006-07-31,11000.01,0.0,12318.83
2006-08-17,15000.0,0.0,16318.82
2006-08-21,15000.0,0.0,16318.82
2006-09-04,11001.0,0.0,12319.82
2006-09-05,11001.0,0.0,12319.82
2006-09-25,11000.0,0.0,12318.82
2006-09-28,10005.0,0.0,11323.82
2006-10-05,9000.0,0.0,10318.82
2006-10-08,9120.0,0.0,10438.82
2006-11-12,9100.0,0.0,10418.82
2006-11-15,9000.0,0.0,10318.82
2006-11-21,9000.0,0.0,10318.82
2006-11-22,8950.0,0.0,10268.82
2006-11-28,9500.0,0.0,10818.82
2006-12-03,9500.0,0.0,10818.82
2006-12-04,10000.0,0.0,11318.82
2006-12-10,9500.0,0.0,10818.82
2006-12-14,10500.01,0.0,11818.83
2006-12-20,10200.0,0.0,11518.82
2006-12-24,11000.0,0.0,12318.82
2006-12-25,11000.0,0.0,12318.82
2006-12-26,11000.0,0.0,12318.82
2006-12-27,11000.0,0.0,12318.82
2007-01-03,12000.0,0.0,13318.82
2007-01-04,12001.0,0.0,13319.82
2007-01-09,12150.0,244.79,13713.61
2007-01-10,12500.0,0.0,14063.61
2007-01-18,12200.0,0.0,13763.61
2007-01-22,12200.0,0.0,13763.61
2007-01-28,12599.99,0.0,14163.6
2007-01-29,12500.0,0.0,14063.61
2007-01-30,12380.0,0.0,13943.61
2007-01-31,13500.0,0.0,15063.61
2007-02-01,17500.0,0.0,19063.61
2007-02-04,18050.0,0.0,19613.61
2007-02-05,17010.0,0.0,18573.61
2007-02-06,17050.0,0.0,18613.61
2007-02-07,17999.0,0.0,19562.61
2007-02-08,16999.99,0.0,18563.600000000002
2007-02-11,19200.0,0.0,20763.61
2007-02-12,20000.0,0.0,21563.61
