Date,Close
8/1/2000,102.78
9/1/2000,115.53
10/1/2000,102.09
11/1/2000,106.17
12/1/2000,105.61
1/1/2001,106.35
2/1/2001,105.85
3/1/2001,105.85
4/1/2001,101.86
5/1/2001,103.95
6/1/2001,103.66
7/1/2001,102.71
8/1/2001,98.05
9/1/2001,113.67
10/1/2001,113.05
11/1/2001,104.36
12/1/2001,101.9
1/1/2002,104.55
2/1/2002,107.19
3/1/2002,110.03
4/1/2002,111.23
5/1/2002,113.73
6/1/2002,113.51
7/1/2002,113.16
8/1/2002,113.22
9/1/2002,112.23
10/1/2002,112.18
11/1/2002,92.19
12/1/2002,127.35
1/1/2003,127.02
2/1/2003,124.73
3/1/2003,125.63
4/1/2003,122.11
5/1/2003,108.12
6/1/2003,99.58
7/1/2003,104.88
8/1/2003,130.8
9/1/2003,148.21
10/1/2003,133.5
11/1/2003,133.54
12/1/2003,132.35
1/1/2004,149.56
2/1/2004,150.17
3/1/2004,166.92
4/1/2004,177.57
5/1/2004,186.56
6/1/2004,190.55
7/1/2004,192.17
8/1/2004,196.14
9/1/2004,188.98
10/1/2004,200.24
11/1/2004,205.17
12/1/2004,208.8
1/1/2005,216.34
2/1/2005,210.32
3/1/2005,213.86
4/1/2005,242.75
5/1/2005,275.96
6/1/2005,299.12
7/1/2005,315.54
8/1/2005,350.68
9/1/2005,411.09
10/1/2005,408.96
11/1/2005,437.43
12/1/2005,511.65
1/1/2006,637.92
2/1/2006,789.04
3/1/2006,1120.75
4/1/2006,1870.81
5/1/2006,2131.66
6/1/2006,1747.04
7/1/2006,1665.98
8/1/2006,1674.99
9/1/2006,1903.53
10/1/2006,1834.53
11/1/2006,1778.56
12/1/2006,2042.09
1/1/2007,2418.08
2/1/2007,2501.16
3/1/2007,2601.37
4/1/2007,2561.77
5/1/2007,2555.26
6/1/2007,2588.2
7/1/2007,2684.66
8/1/2007,2697.17
9/1/2007,2587.75
10/1/2007,2560.72
11/1/2007,2590.32
12/1/2007,2559.02
1/1/2008,2640.15
2/1/2008,2627.62
3/1/2008,2671.02
4/1/2008,2597.46
5/1/2008,2607.1
6/1/2008,2660.03
7/1/2008,2603.35
8/1/2008,2348.81
9/1/2008,1943.09
10/1/2008,1432.84
11/1/2008,1084.68
12/1/2008,930.5
1/1/2009,872.66
2/1/2009,581.14
3/1/2009,621.36
4/1/2009,683.21
5/1/2009,959.45
6/1/2009,1184.72
7/1/2009,1088.96
8/1/2009,1266.75
9/1/2009,1372.38
10/1/2009,1539.05
11/1/2009,1628.83
12/1/2009,1854.57
1/1/2010,1817.5
2/1/2010,1836.39
3/1/2010,1761.29
4/1/2010,1911.51
5/1/2010,1785.46
6/1/2010,1462.09
7/1/2010,1393.84
8/1/2010,1504.3
9/1/2010,1404.69
10/1/2010,1545.41
11/1/2010,1528.08
12/1/2010,1607.79
1/1/2011,1701.37
2/1/2011,1814.32
3/1/2011,1840.86
4/1/2011,1757.96
5/1/2011,1706.07
6/1/2011,1629.72
7/1/2011,1564.54
8/1/2011,1533.91
9/1/2011,1287.58
10/1/2011,1116.9
11/1/2011,1146.28
12/1/2011,1109.52
1/1/2012,1141.21
2/1/2012,1198.26
3/1/2012,1251.39
4/1/2012,1270.21
5/1/2012,1250.52
6/1/2012,995.38
7/1/2012,985.27
8/1/2012,962.18
9/1/2012,948.41
10/1/2012,964.97
11/1/2012,988.04
12/1/2012,928.73
1/1/2013,991.64
2/1/2013,1074.31
3/1/2013,1039.47
4/1/2013,959.47
5/1/2013,950.15
6/1/2013,952.5
7/1/2013,870.21
8/1/2013,902.77
9/1/2013,913.94
10/1/2013,896.8
11/1/2013,898.02
12/1/2013,911.64
1/1/2014,916.55
2/1/2014,924.98
3/1/2014,1107.79
4/1/2014,1036.26
5/1/2014,1049.62
6/1/2014,1083.26
7/1/2014,1133.01
8/1/2014,1292.91
9/1/2014,1299
10/1/2014,1198.49
11/1/2014,1059.75
12/1/2014,995.7
1/1/2015,951.63
2/1/2015,819.23
3/1/2015,819.46
4/1/2015,811.41
5/1/2015,853.6
6/1/2015,873.36
7/1/2015,896.23
8/1/2015,855.46
9/1/2015,834.8
10/1/2015,807.85
11/1/2015,899.91
12/1/2015,920.63
1/1/2016,874.63
2/1/2016,872.83
3/1/2016,964.94
4/1/2016,986.97
5/1/2016,939.51
6/1/2016,1038.28
7/1/2016,984.8
8/1/2016,1069.08
9/1/2016,1114.61
10/1/2016,1194.19
11/1/2016,1285.37
12/1/2016,1328.34
1/1/2017,1357.87
2/1/2017,1521.25
3/1/2017,1580.53
4/1/2017,1554.39
5/1/2017,1551.6
6/1/2017,1562
7/1/2017,1674.21
8/1/2017,1799.32
9/1/2017,1988.14
10/1/2017,2036.39
11/1/2017,2088.3
12/1/2017,2106.68
1/1/2018,2164.47
2/1/2018,2354.05
3/1/2018,2361.63
4/1/2018,2418.66
5/1/2018,2426.06
6/1/2018,2486.79
7/1/2018,2394.39
8/1/2018,2359.25
9/1/2018,2221.94
10/1/2018,2203.04
11/1/2018,2213.03
12/1/2018,2274.59
1/1/2019,2293.71
2/1/2019,2297.61
3/1/2019,2362.28
4/1/2019,2423.06
5/1/2019,2310.13
